2,4,5,6,7,9,12,14,16,20|3,13,1,8,17,10,19,11,18,15
3,7,10,11,12,13,14,15,16,19|20,5,17,6,18,4,9,1,2,8
1,6,8,9,10,11,13,15,17,18|7,16,3,2,4,12,5,19,20,14
1,2,3,10,11,12,13,14,16,20|18,17,7,8,4,15,6,9,19,5
2,3,4,8,9,12,14,15,17,18|6,19,20,5,13,11,7,10,1,16
1,2,7,9,10,13,14,15,17,19|16,5,18,4,20,3,8,11,12,6
1,4,5,8,12,13,14,16,19,20|17,3,15,2,10,9,18,7,6,11
1,4,7,10,13,14,15,17,19,20|3,8,6,11,16,18,9,12,5,2
2,5,6,7,9,12,15,16,18,20|19,4,13,17,10,14,1,8,11,3
1,6,9,11,12,13,14,16,17,18|3,19,15,8,4,10,7,2,20,5
