2,3,4,5,8,9,10,11,12,14,15,16,17,18,19|1,7,13,6,20
1,3,5,6,7,8,9,11,12,13,15,16,17,18,19|20,4,14,2,10
2,3,5,6,8,10,11,12,13,14,15,16,17,18,19|4,9,7,20,1
2,3,5,6,7,8,9,10,11,12,15,16,18,19,20|14,17,4,1,13
2,4,6,7,10,11,12,13,14,15,16,17,18,19,20|5,8,9,1,3
1,2,4,5,6,7,9,10,12,13,14,15,16,19,20|8,3,18,11,17
2,3,4,5,7,8,9,10,11,13,14,16,17,19,20|1,6,15,18,12
1,2,3,6,7,8,9,10,11,12,13,14,15,16,19|5,20,18,17,4
1,2,4,6,7,8,9,10,11,13,14,15,16,18,20|3,17,12,19,5
1,2,3,4,5,6,8,9,10,11,12,14,15,18,19|7,16,20,17,13
